  PID  PPID  %CPU    RSS COMM
    1     0   0.3  11568 /sbin/launchd
  494     1   0.1  38752 /Users/adriangonzalez/Applications/Telar.app/Contents/Resources/bin/telar
  505     1   0.0  17968 /Users/adriangonzalez/Applications/Telar.app/Contents/Resources/bin/telar
  510   505   0.0   4416 node
  527   510   0.0  22896 /opt/homebrew/lib/node_modules/@openai/codex/node_modules/@openai/codex-darwin-arm64/vendor/aarch64-apple-darwin/bin/codex
  530     1   0.5   9152 /usr/libexec/logd
  532     1   0.0   7680 /usr/libexec/UserEventAgent
  534     1   0.5   5552 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  535     1   0.0   4928 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  538     1   0.0   3488 /usr/sbin/systemstats
  542     1   0.0   4976 /usr/libexec/configd
  544     1   0.0   6880 /System/Library/CoreServices/powerd.bundle/powerd
  545     1   0.0   1408 /usr/libexec/IOMFB_bics_daemon
  549     1   0.0   2080 /usr/libexec/remoted
  553     1   0.0    928 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  555     1   0.0   1776 /usr/libexec/watchdogd
  559     1   0.1  14688 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  561     1   0.0   2304 /usr/libexec/kernelmanagerd
  562     1   0.0   2736 /usr/libexec/diskarbitrationd
  566     1   0.0    528 /usr/sbin/syslogd
  568     1   0.0   2640 /usr/libexec/thermalmonitord
  569     1   0.0   5872 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  570     1   0.0   2304 /usr/libexec/xprotectd
  571     1   0.0   6448 /usr/libexec/opendirectoryd
  572     1   0.0   7152 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  573     1   0.0   5920 /System/Library/CoreServices/launchservicesd
  574     1   0.0   2864 /usr/libexec/timed
  575     1   0.0   1728 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  576     1   0.0   4928 /usr/sbin/securityd
  578     1   0.0  12336 /usr/libexec/locationd
  579     1   0.0   4160 /usr/libexec/nesessionmanager
  581     1   0.0   1216 autofsd
  582     1   0.0  15520 /usr/libexec/dasd
  583     1   0.0   2208 /usr/libexec/corerepaird
  585     1   0.0   2192 /usr/sbin/distnoted
  589     1   0.0   2224 /System/Library/CoreServices/logind
  590     1   0.0   2864 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  591     1   0.0    864 /usr/sbin/KernelEventAgent
  595     1   0.0  11712 /usr/sbin/bluetoothd
  596     1   0.4   3456 /usr/sbin/notifyd
  598     1   0.0   5008 /usr/libexec/corebrightnessd
  599     1   0.0   2208 /usr/libexec/AirPlayXPCHelper
  600     1   0.0   3680 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  604     1   0.0  14992 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
  605     1   0.1   4384 /usr/sbin/cfprefsd
  608     1   0.0  11296 /usr/libexec/runningboardd
  609     1   0.0   3120 /System/Library/CoreServices/coreservicesd
  610     1   1.4  40048 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
  612     1   1.0  14032 /usr/sbin/coreaudiod
  618     1   0.0   2144 /usr/libexec/apfsd
  621     1   0.1  10736 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  631     1   0.0   9216 /usr/libexec/lsd
  632     1   0.0   5424 /usr/libexec/ApplicationFirewall/socketfilterfw
  635     1   0.0  12640 /usr/libexec/airportd
  636     1   0.1   8544 /usr/libexec/symptomsd
  643     1   0.0   9920 /usr/sbin/mDNSResponder
  644     1   0.0   1440 /usr/sbin/distnoted
  646     1   0.0   3680 /usr/libexec/eligibilityd
  648     1   0.0   7488 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
  649     1   0.0   4320 Core Audio Driver (ParrotAudioPlugin.driver)
  654     1   0.0   6656 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  658     1   0.0   3296 /usr/libexec/audiomxd
  663     1   0.0   1472 /usr/sbin/distnoted
  669     1   0.0   1472 /usr/sbin/distnoted
  670     1   0.0   2144 /usr/sbin/mDNSResponderHelper
  674     1   0.3   9728 /usr/libexec/syspolicyd
  677     1   0.0   2288 /usr/libexec/audioclocksyncd
  684     1   0.0   1392 /usr/sbin/distnoted
  693     1   0.0   8368 /usr/libexec/modelmanagerd
  695     1   0.0   2544 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  696     1   0.0   3472 /usr/sbin/appleh13camerad
  703     1   0.0   2592 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  707     1   0.0   1472 /usr/sbin/distnoted
  709     1   0.0   1408 /usr/sbin/distnoted
  715     1   0.7  40288 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN
  716     1   0.0   1376 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  717     1   0.0   1216 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  733   527   0.0   5984 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node_repl
  737     1   0.0   6320 /usr/libexec/searchpartyd
  738   527   0.0   7120 docker
  740     1   0.0   7648 /usr/libexec/wifip2pd
  749     1   0.0   1472 /usr/sbin/distnoted
  753   538   0.0   1680 /usr/sbin/systemstats
  759     1   0.0   2304 /System/Library/CoreServices/appleeventsd
  767   738   0.0   9552 /Users/adriangonzalez/.docker/cli-plugins/docker-mcp
  773     1   0.0   1408 /usr/sbin/distnoted
  801     1   0.0   4160 /Library/PrivilegedHelperTools/com.docker.vmnetd
  815     1   0.0   2576 /usr/libexec/cameracaptured
  816     1   0.0   2832 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  903     1   0.1  25200 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  938     1   0.0    992 /usr/libexec/rosetta/oahd
 1012     1   0.0   2016 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
 1015     1   0.0   1408 /usr/sbin/distnoted
 1016     1   0.0   1456 /usr/sbin/distnoted
 1017     1   0.0   1744 /usr/sbin/distnoted
 1023     1   0.0   3344 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
 1031     1   0.0   1216 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver
 1039     1   0.0   1440 /usr/sbin/distnoted
 1040     1   0.1   4512 /usr/sbin/cfprefsd
 1041     1   0.0   3856 /usr/libexec/UserEventAgent
 1048     1   0.0   4560 /usr/sbin/universalaccessd
 1051     1   0.0   2784 /usr/libexec/pboard
 1055     1   0.0   7136 /usr/libexec/lsd
 1061     1   0.0   4128 /System/Library/PrivateFrameworks/MobileDevice.framework/Resources/MobileDeviceUpdater.app/Contents/MacOS/MobileDeviceUpdater
 1062     1   0.0   7104 /usr/libexec/nsurlsessiond
 1063     1   0.0  14640 /usr/sbin/usernoted
 1064     1   0.0   6096 /usr/libexec/rapportd
 1067     1   0.0   2912 /System/Library/CoreServices/lockoutagent
 1071     1   0.0   4400 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
 1074     1   0.0    976 /System/Library/PrivateFrameworks/SystemMigrationNetwork.framework/Resources/migrationhelper
 1081     1   0.0  14064 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
 1086     1   0.0   5760 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
 1104     1   0.0  19424 /usr/libexec/sharingd
 1112     1   0.0   7680 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
 1122     1   0.0   7424 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
 1126     1   0.0   6560 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
 1133     1   0.0   3024 /usr/sbin/filecoordinationd
 1144     1   0.0   2064 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
 1145     1   0.0   7696 /System/Library/CoreServices/sharedfilelistd
 1153     1   0.0   2032 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
 1154     1   0.0   3296 /usr/libexec/ContinuityCaptureAgent
 1163     1   0.0   5120 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
 1164     1   0.0   3808 /usr/libexec/nearbyd
 1166     1   0.0   1424 /usr/sbin/distnoted
 1184     1   0.0   1392 /usr/sbin/distnoted
 1294     1   0.0   1376 /usr/sbin/distnoted
